qa,accuracy,token_size
qa1,60,0
qa1,62,1
qa1,60,2
qa1,58,4
qa1,58,8
qa1,60,16
qa1,60,32
qa1,56,64
qa1,64,128
qa2,28,0
qa2,25,1
qa2,22,2
qa2,19,4
qa2,14,8
qa2,13,16
qa2,9,32
qa2,7,64
qa2,6,128
qa3,17,0
qa3,18,1
qa3,17,2
qa3,17,4
qa3,16,8
qa3,17,16
qa3,15,32
qa3,13,64
qa3,19,128
qa4,53,0
qa4,58,1
qa4,56,2
qa4,59,4
qa4,57,8
qa4,60,16
qa4,60,32
qa4,59,64
qa4,60,128
qa5,80,0
qa5,77,1
qa5,78,2
qa5,77,4
qa5,78,8
qa5,77,16
qa5,78,32
qa5,76,64
qa5,75,128
